,Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
510393,2008-03-05 20:54:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,NORTHERN,"ARREST, CITED",WEBSTER ST / OFARRELL ST,-122.430992409047,37.7835058263734
859019,2003-04-03 12:35:00,OTHER OFFENSES,PROBATION VIOLATION,Thursday,TENDERLOIN,"ARREST, BOOKED",0 Block of JONES ST,-122.41219255572099,37.781604574125204
427098,2009-05-11 10:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,SOUTHERN,"ARREST, CITED",1000 Block of FOLSOM ST,-122.4059545282,37.778314613816704
835169,2003-07-26 23:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,TENDERLOIN,NONE,0 Block of MASON ST,-122.409129633669,37.7838066631424
660064,2005-12-31 19:57:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Saturday,TARAVAL,"ARREST, BOOKED",300 Block of PLYMOUTH AV,-122.456126455635,37.713643219047604
671864,2005-11-02 15:00:00,ASSAULT,BATTERY OF A POLICE OFFICER,Wednesday,SOUTHERN,JUVENILE BOOKED,800 Block of MARKET ST,-122.40669059226101,37.7852071918419
588721,2007-01-11 12:05:00,SECONDARY CODES,DOMESTIC VIOLENCE,Thursday,PARK,"ARREST, BOOKED",1700 Block of TURK ST,-122.438328082289,37.7797665517286
785871,2004-03-30 18:00:00,ASSAULT,BATTERY,Tuesday,INGLESIDE,NONE,1800 Block of SUNNYDALE AV,-122.417107986993,37.7122561827524
9385,2015-03-30 18:30:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,SOUTHERN,NONE,0 Block of UNITEDNATIONS PZ,-122.41431785788099,37.7799444052046
783271,2004-04-12 14:10:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
757360,2004-08-16 00:20:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,BAYVIEW,NONE,0 Block of GIRARD ST,-122.40626010914801,37.7315644104588
602646,2006-10-22 20:54:00,FRAUD,FALSE ID TO PEACE OFFICER,Sunday,TENDERLOIN,"ARREST, BOOKED",400 Block of OFARRELL ST,-122.411742515582,37.7858882195106
668045,2005-11-18 22:15:00,WARRANTS,WARRANT ARREST,Friday,CENTRAL,"ARREST, BOOKED",1300 Block of GRANT AV,-122.40723429411999,37.7992576492589
740718,2004-10-31 23:00:00,NON-CRIMINAL,LOST PROPERTY,Sunday,MISSION,NONE,DOLORES ST / 19TH ST,-122.425920487444,37.7598279172274
829230,2003-08-24 13:00:00,NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Sunday,CENTRAL,NONE,0 Block of DRUMM ST,-122.396421943768,37.7941447423704
71184,2014-06-01 13:22:00,ASSAULT,STALKING,Sunday,INGLESIDE,"ARREST, BOOKED",100 Block of TUCKER AV,-122.407000497181,37.716172774552
486512,2008-07-09 10:15:00,ASSAULT,BATTERY,Wednesday,MISSION,"ARREST, CITED",800 Block of POTRERO AV,-122.406725329529,37.7585641691709
80657,2014-04-17 20:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,1900 Block of BEACH ST,-122.441501190556,37.8038521024304
717975,2005-03-11 17:44:00,FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Friday,MISSION,NONE,2900 Block of 24TH ST,-122.410519781929,37.752766726673
224271,2012-05-15 22:35:00,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Tuesday,MISSION,"ARREST, CITED",CAPP ST / 20TH ST,-122.41796448376002,37.7586968166489
461924,2008-11-10 12:11:00,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Monday,RICHMOND,"ARREST, BOOKED",700 Block of LA PLAYA ST,-122.510032525985,37.7741786514476
773855,2004-05-25 16:00:00,ASSAULT,THREATS AGAINST LIFE,Tuesday,PARK,NONE,100 Block of BELVEDERE ST,-122.449328648219,37.767773887474796
359095,2010-05-19 14:00:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,NORTHERN,NONE,1900 Block of LOMBARD ST,-122.43357543980801,37.8000374496753
487564,2008-06-29 14:50:00,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,INGLESIDE,"ARREST, CITED",HOWTH ST / OCEAN AV,-122.449556915345,37.7229598160913
647034,2006-03-09 18:49:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Thursday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
350928,2010-07-01 13:00:00,MISSING PERSON,FOUND PERSON,Thursday,NORTHERN,NONE,1300 Block of GOLDEN GATE AV,-122.432800615342,37.779511590923704
876355,2003-01-09 21:15:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,BAYVIEW,NONE,1000 Block of GILMAN AV,-122.389056277059,37.71882202740071
554388,2007-07-14 20:45:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,NORTHERN,NONE,600 Block of EDDY ST,-122.41838200860701,37.783258377094896
11286,2015-03-19 11:00:00,NON-CRIMINAL,LOST PROPERTY,Thursday,RICHMOND,NONE,4100 Block of CLEMENT ST,-122.50363781312001,37.7812059887529
717597,2005-03-12 15:00:00,ASSAULT,BATTERY,Saturday,SOUTHERN,NONE,100 Block of 6TH ST,-122.40747443962401,37.779911669335
102297,2014-01-06 07:29:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,TENDERLOIN,NONE,100 Block of TURK ST,-122.411615075408,37.7831614109395
345230,2010-07-31 02:50:00,ASSAULT,BATTERY,Saturday,CENTRAL,"ARREST, CITED",GRANT AV / UNION ST,-122.407589113638,37.8006374058088
805455,2003-12-24 12:00:00,FORGERY/COUNTERFEITING,"CHECKS, POSSESSION WITH INTENT TO PASS",Wednesday,TENDERLOIN,NONE,200 Block of ELLIS ST,-122.41032349523199,37.7851225223607
67791,2014-06-24 15:22:00,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Tuesday,MISSION,NONE,2100 Block of MARKET ST,-122.42978898698799,37.7666521474762
99696,2014-01-12 16:12:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,SOUTHERN,NONE,ELLIS ST / MARKET ST,-122.405832474482,37.7857446545609
605818,2006-10-07 08:00:00,MISSING PERSON,MISSING ADULT,Saturday,TARAVAL,NONE,1200 Block of 21ST AV,-122.479262124399,37.7643941858848
699851,2005-06-14 12:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,0 Block of PALACE DR,-122.44840289029499,37.8029347150133
493120,2008-05-31 16:30:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,TENDERLOIN,"ARREST, BOOKED",100 Block of EDDY ST,-122.41013523637699,37.78418890752671
823012,2003-09-29 11:00:00,VANDALISM,MALICIOUS MISCHIEF,Monday,INGLESIDE,JUVENILE DIVERTED,200 Block of ONEIDA AV,-122.443009986764,37.7218704825421
776063,2004-05-13 10:30:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Thursday,TARAVAL,NONE,100 Block of MIRAMAR AV,-122.458249653315,37.7209509913653
134530,2013-07-28 19:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE,PENNSYLVANIA AV / MARIPOSA ST,-122.39373209037399,37.7640221094087
502367,2008-04-16 15:14:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Wednesday,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.41965834371,37.7642205603745
755347,2004-08-20 17:55:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,TARAVAL,"ARREST, CITED",OCEAN AV / HAROLD AV,-122.45310567307301,37.723244402618704
875930,2003-01-10 22:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Friday,BAYVIEW,NONE,1000 Block of CONNECTICUT ST,-122.39720193799299,37.75353512427621
238344,2012-02-26 22:05:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Sunday,NORTHERN,NONE,TURK ST / BUCHANAN ST,-122.42885538348301,37.780914754285895
77094,2014-05-03 13:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,TARAVAL,NONE,SLOAT BL / 41ST AV,-122.499194862709,37.7343107546291
451119,2009-01-06 22:00:00,LARCENY/THEFT,GRAND THEFT BICYCLE,Tuesday,NORTHERN,NONE,1200 Block of LOMBARD ST,-122.422084942737,37.8016020246052
493897,2008-05-29 17:27:00,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,MISSION,"ARREST, CITED",MISSION ST / 15TH ST,-122.41982792996099,37.766673755183504
746524,2004-10-03 04:20:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Sunday,CENTRAL,NONE,600 Block of JONES ST,-122.41316280209601,37.7870801005292
576859,2007-03-19 21:42:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,BAYVIEW,NONE,PALOU AV / KEITH ST,-122.38716770759,37.7318594482631
248280,2012-01-11 13:00:00,NON-CRIMINAL,COURTESY REPORT,Wednesday,CENTRAL,NONE,400 Block of MERCHANT ST,-122.40101922564399,37.7954303272546
151707,2013-05-13 22:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,INGLESIDE,NONE,400 Block of FLOOD AV,-122.450017371266,37.729932082336894
703647,2005-05-21 17:55:00,WARRANTS,WARRANT ARREST,Saturday,TARAVAL,"ARREST, BOOKED",LAKEVIEW AV / CAINE AV,-122.45115667769801,37.7165823568091
871218,2003-02-05 11:00:00,MISSING PERSON,MISSING ADULT,Wednesday,MISSION,NONE,3000 Block of FOLSOM ST,-122.413627128295,37.74854035884249
665011,2005-12-03 23:35:00,SUSPICIOUS OCC,SUSPICIOUS PERSON,Saturday,BAYVIEW,NONE,0 Block of NORTHRIDGE RD,-122.37551296863501,37.730806609582
670796,2005-11-04 22:10:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,CENTRAL,NONE,JONES ST / COLUMBUS AV,-122.41689153662901,37.805211231557706
624040,2006-07-10 11:30:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Monday,INGLESIDE,NONE,1900 Block of SUNNYDALE AV,-122.41714480239901,37.7121502932531
634577,2006-05-16 12:34:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Tuesday,TENDERLOIN,NONE,JONES ST / STEVELOE PL,-122.41288317793301,37.7853530358936
826800,2003-09-06 14:00:00,BURGLARY,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY",Saturday,CENTRAL,NONE,300 Block of GRANT AV,-122.40548076226901,37.7903312930658
325873,2010-11-07 02:24:00,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Sunday,TARAVAL,"ARREST, BOOKED",OCEAN AV / MIRAMAR AV,-122.458189948785,37.7243164693673
758964,2004-08-04 20:28:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,MISSION,PSYCHOPATHIC CASE,2800 Block of 24TH ST,-122.40866468611601,37.7528787651491
287015,2011-06-13 17:05:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,SOUTHERN,NONE,0 Block of 6TH ST,-122.40901120663901,37.7811340568243
792933,2004-02-22 00:01:00,NON-CRIMINAL,LOST PROPERTY,Sunday,MISSION,NONE,2200 Block of MISSION ST,-122.419212198636,37.7610244167023
670276,2005-11-06 10:02:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,TENDERLOIN,"ARREST, CITED",ELLIS ST / HYDE ST,-122.416075285059,37.78444966125621
358510,2010-05-20 20:42:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Thursday,NORTHERN,"ARREST, BOOKED",OCTAVIA ST / BUSH ST,-122.42686559013,37.7878612788339
90409,2014-03-04 11:16:00,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Tuesday,TARAVAL,NONE,500 Block of ARBALLO DR,-122.483221163696,37.7183893897271
51837,2014-09-04 21:00:00,MISSING PERSON,MISSING ADULT,Thursday,CENTRAL,LOCATED,1100 Block of BUSH ST,-122.41619920450199,37.7891587712961
2329,2015-04-30 20:13:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,TENDERLOIN,NONE,100 Block of HYDE ST,-122.415669661443,37.7821198488931
97261,2014-01-25 12:37:00,OTHER OFFENSES,PROBATION VIOLATION,Saturday,TENDERLOIN,"ARREST, BOOKED",0 Block of TURK ST,-122.40984944165501,37.78327552025671
201582,2012-09-08 02:50:00,SECONDARY CODES,DOMESTIC VIOLENCE,Saturday,PARK,"ARREST, BOOKED",800 Block of CORBETT AV,-122.443428829359,37.7533851302761
83842,2014-04-03 00:13:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,MISSION,"ARREST, BOOKED",600 Block of VALENCIA ST,-122.421687545021,37.7621160582473
748616,2004-09-27 21:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Monday,MISSION,NONE,25TH ST / UTAH ST,-122.405210474576,37.7517864145652
678723,2005-10-03 11:00:00,ASSAULT,THREATS AGAINST LIFE,Monday,INGLESIDE,NONE,1600 Block of YORK ST,-122.40652866524401,37.7472126200736
703776,2005-05-21 12:00:00,FRAUD,"FALSE PRETENSES, GRAND THEFT",Saturday,INGLESIDE,PROSECUTED BY OUTSIDE AGENCY,100 Block of TEDDY AV,-122.405505689191,37.714186262499
361599,2010-05-05 20:00:00,OTHER OFFENSES,FAILURE TO REGISTER AS SEX OFFENDER,Wednesday,PARK,"ARREST, BOOKED",GROVE ST / LYON ST,-122.44294675080299,37.7752938920622
616988,2006-08-11 11:39:00,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Friday,INGLESIDE,"ARREST, BOOKED",TRUMBULL ST / CRAUT ST,-122.42839136551201,37.7307881195475
318069,2010-12-19 22:19:00,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,INGLESIDE,"ARREST, CITED",MISSION ST / PERSIA AV,-122.43597721702999,37.7231288306727
807943,2003-12-10 14:25:00,ASSAULT,ATTEMPTED SIMPLE ASSAULT,Wednesday,SOUTHERN,NONE,700 Block of CLEMENTINA ST,-122.411356634079,37.7747632385271
696153,2005-07-01 01:20:00,OTHER OFFENSES,TRAFFIC VIOLATION,Friday,INGLESIDE,"ARREST, BOOKED",100 Block of AVALON AV,-122.431394240512,37.7270674784981
329783,2010-10-21 09:35:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,BAYVIEW,"ARREST, CITED",REVERE AV / 3RD ST,-122.391522893042,37.7324323864471
662696,2005-12-17 09:16:00,OTHER OFFENSES,PROBATION VIOLATION,Saturday,TENDERLOIN,"ARREST, BOOKED",OFARRELL ST / JONES ST,-122.412970537598,37.7857883766658
259846,2011-11-05 17:26:00,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Saturday,SOUTHERN,NONE,0 Block of MCCOPPIN ST,-122.422142220938,37.7716732332893
786773,2004-03-21 13:15:00,LARCENY/THEFT,GRAND THEFT BICYCLE,Sunday,RICHMOND,NONE,500 Block of JOHN F KENNEDY DR,-122.46620466789301,37.7725405391593
744899,2004-10-14 11:30:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Thursday,CENTRAL,"ARREST, BOOKED",200 Block of SUTTER ST,-122.40482801879,37.789759693834206
795676,2004-02-07 23:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Saturday,SOUTHERN,NONE,6TH ST / HARRISON ST,-122.404071611414,37.777274185412395
576642,2007-03-20 14:00:00,NON-CRIMINAL,LOST PROPERTY,Tuesday,SOUTHERN,NONE,3RD ST / MISSION ST,-122.40202770694799,37.7862483456629
443031,2009-02-18 19:10:00,MISSING PERSON,MISSING JUVENILE,Wednesday,MISSION,LOCATED,900 Block of POTRERO AV,-122.406604919508,37.7571580431915
483473,2008-07-23 17:06:00,OTHER OFFENSES,PAROLE VIOLATION,Wednesday,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.411965795229,37.78491418595621
433623,2009-04-03 15:00:00,MISSING PERSON,MISSING ADULT,Friday,MISSION,NONE,800 Block of POTRERO AV,-122.406725329529,37.7585641691709
70054,2014-06-11 16:00:00,MISSING PERSON,FOUND PERSON,Wednesday,MISSION,LOCATED,800 Block of SOUTH VAN NESS AV,-122.417016663517,37.7595460924587
667100,2005-11-28 13:05:00,SUSPICIOUS OCC,"SUSPICIOUS AUTO, POSSIBLY SEX",Monday,TARAVAL,NONE,3000 Block of JUDAH ST,-122.494429902423,37.76087722237021
609873,2006-09-19 23:28:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Tuesday,NORTHERN,"ARREST, BOOKED",900 Block of FRANKLIN ST,-122.42258112165001,37.7829192180689
183629,2012-12-01 18:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,NORTHERN,NONE,CHURCH ST / MARKET ST,-122.42895003272699,37.7675027326801
355399,2010-06-05 01:40:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,BAYVIEW,NONE,500 Block of BARNEVELD AV,-122.404296869791,37.74044593571
482740,2008-07-25 15:50:00,OTHER OFFENSES,PROBATION VIOLATION,Friday,SOUTHERN,"ARREST, BOOKED",0 Block of 6TH ST,-122.40891322980801,37.781211650766295
756678,2004-08-17 18:30:00,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Tuesday,NORTHERN,NONE,1300 Block of SUTTER ST,-122.42258569695801,37.7873874125739
755289,2004-08-20 20:05:00,ASSAULT,INFLICT INJURY ON COHABITEE,Friday,SOUTHERN,"ARREST, BOOKED",500 Block of 6TH ST,-122.401787084709,37.7753735050258
655416,2006-01-26 03:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,800 Block of FOLSOM ST,-122.402246029097,37.7810888153345
333920,2010-09-26 10:09:00,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Sunday,TARAVAL,NONE,2300 Block of 27TH AV,-122.48439703120701,37.743585544085796
259400,2011-11-06 23:15:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,BAYVIEW,NONE,700 Block of MENDELL ST,-122.386741935072,37.7386969258775
750630,2004-09-15 18:30:00,LARCENY/THEFT,PETTY THEFT BICYCLE,Wednesday,MISSION,NONE,800 Block of GUERRERO ST,-122.423559852289,37.7579622837155
238016,2012-03-05 19:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,RICHMOND,NONE,1000 Block of GREAT HY,-122.510225749052,37.7672442209616
198787,2012-09-22 01:40:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,MISSION,NONE,16TH ST / FOLSOM ST,-122.415308388816,37.765316135635
585413,2007-01-27 18:00:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Saturday,CENTRAL,NONE,1600 Block of THE EMBARCADERONORTH ST,-122.410774214375,37.8084350175869
265886,2011-10-06 17:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,MISSION,NONE,4100 Block of 24TH ST,-122.43520939175899,37.7511723136128
104427,2013-12-15 19:03:00,VEHICLE THEFT,STOLEN TRUCK,Sunday,PARK,NONE,STANYAN ST / WALLER ST,-122.45335464746901,37.7682463076665
837121,2003-07-22 02:00:00,ROBBERY,"ROBBERY, BODILY FORCE",Tuesday,INGLESIDE,NONE,30TH ST / SAN JOSE AV,-122.423286811007,37.7422960681893
783965,2004-04-03 18:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Saturday,RICHMOND,NONE,0 Block of MAYFAIR DR,-122.450804962038,37.785975417055504
524969,2007-12-13 22:37:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,NORTHERN,"ARREST, BOOKED",0 Block of OLIVE ST,-122.418641097069,37.7846595655176
341008,2010-08-25 08:15:00,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,RICHMOND,"ARREST, CITED",GEARY BL / PARKPRESIDIO BL,-122.47231143961099,37.7806545051192
214556,2012-07-01 16:05:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,MISSION,PSYCHOPATHIC CASE,1000 Block of POTRERO AV,-122.406539115148,37.7564864109309
130659,2013-08-20 17:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,RICHMOND,NONE,700 Block of 23RD AV,-122.482184155412,37.773579768654706
274936,2011-08-14 20:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Sunday,TARAVAL,NONE,1200 Block of 11TH AV,-122.46858487568701,37.7648653652411
530391,2007-11-15 23:21:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,TENDERLOIN,"ARREST, CITED",0 Block of TURK ST,-122.409853729941,37.7833862379382
504130,2008-04-04 22:00:00,LARCENY/THEFT,PETTY THEFT AUTO STRIP,Friday,TARAVAL,NONE,3200 Block of RIVERA ST,-122.50113990715599,37.745613174050796
310120,2011-02-07 08:30:00,NON-CRIMINAL,FOUND PROPERTY,Monday,INGLESIDE,NONE,200 Block of RICHLAND AV,-122.421633400114,37.735796179728496
678689,2005-10-03 12:14:00,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Monday,INGLESIDE,"ARREST, CITED",600 Block of PORTOLA DR,-122.45190439889299,37.745299339030296
263460,2011-10-20 11:42:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,PSYCHOPATHIC CASE,1200 Block of MISSION ST,-122.413583483648,37.7770436202636
820138,2003-10-13 01:26:00,OTHER OFFENSES,PAROLE VIOLATION,Monday,BAYVIEW,"ARREST, BOOKED",600 Block of BACON ST,-122.409065340557,37.7262622821311
870732,2003-02-06 14:45:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,CENTRAL,NONE,THE EMBARCADERO NORTH ST / GREEN ST,-122.409055216327,37.8081099572953
725546,2005-01-29 18:46:00,OTHER OFFENSES,PEDDLING WITHOUT A LICENSE,Saturday,CENTRAL,"ARREST, CITED",0 Block of JEFFERSON ST,-122.413349164272,37.8084667368908
217909,2012-06-15 23:50:00,ASSAULT,INFLICT INJURY ON COHABITEE,Friday,MISSION,"ARREST, BOOKED",600 Block of VALENCIA ST,-122.421550176461,37.7621307247611
323979,2010-11-19 16:00:00,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Friday,MISSION,"ARREST, BOOKED",1700 Block of FOLSOM ST,-122.415525556609,37.769470071800704
158284,2013-04-06 23:30:00,ASSAULT,BATTERY,Saturday,NORTHERN,NONE,AVILA ST / CHESTNUT ST,-122.440312380104,37.800301309604286
148107,2013-05-29 18:22:00,ASSAULT,BATTERY,Wednesday,SOUTHERN,NONE,5THSTNORTH ST / MARKET ST,-122.408068345148,37.7839916768161
330395,2010-10-19 18:18:00,OTHER OFFENSES,CONSPIRACY,Tuesday,MISSION,"ARREST, BOOKED",2700 Block of 16TH ST,-122.414233194926,37.7654346229116
832269,2003-08-10 09:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,MISSION,NONE,VALENCIA ST / 21ST ST,-122.421118473712,37.756901151177104
